fault_prob_pct,grand_base_pct,grand_dmr_pct,grand_tmr_pct,grand_adaptive_pct,s11_base_pct,s11_dmr_pct,s11_tmr_pct,s11_adaptive_pct,adaptive_power_mw,cap_ff,n_random,n_corner,n_warmup,n_burst
10.0,37.8,37.8,66.9,86.77,93.6,93.6,99.8,100.0,0.235248238,10.0,500.0,100.0,128.0,200.0
50.0,35.85,35.85,65.44,85.18,64.2,64.2,77.8,76.0,0.237409624,10.0,500.0,100.0,128.0,200.0
