architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,5580957,76,1712016.000,0.428930832,3.259874,0.042893083,3.259874323604e-05,0.032598743,1.000000
dmr,11430154,160,1712016.000,0.417276839,6.676429,0.041727684,6.676429425893e-05,0.066764294,2.048063
tmr,16534243,233,1712016.000,0.414496221,9.657762,0.041449622,9.657761960169e-05,0.096577620,2.962618
adaptive,28843094,452,1712016.000,0.372731066,16.847444,0.037273107,1.684744418276e-04,0.168474442,5.168127
