architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,4893212,76,1501676.000,0.428750066,3.258501,0.042875007,3.258500502106e-05,0.032585005,1.000000
dmr,10021681,160,1501676.000,0.417103997,6.673664,0.041710400,6.673663959469e-05,0.066736640,2.048078
tmr,14525523,233,1501676.000,0.415144814,9.672874,0.041514481,9.672874175255e-05,0.096728742,2.968505
adaptive,15926127,282,1501676.000,0.376083973,10.605568,0.037608397,1.060556804530e-04,0.106055680,3.254739
