architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,5580957,76,1712016.000,0.428930832,3.259874,0.042893083,3.911849188325e-05,0.039118492,1.000000
dmr,11430154,160,1712016.000,0.417276839,6.676429,0.041727684,8.011715311072e-05,0.080117153,2.048063
tmr,16534243,233,1712016.000,0.414496221,9.657762,0.041449622,1.158931435220e-04,0.115893144,2.962618
adaptive,41220173,629,1712016.000,0.382781857,24.076979,0.038278186,2.889237460398e-04,0.288923746,7.385861
