architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,356088,76,110096.000,0.425571176,3.234341,0.042557118,3.234340938817e-05,0.032343409,1.000000
dmr,725634,160,110096.000,0.411932541,6.590921,0.041193254,6.590920651068e-05,0.065909207,2.037794
tmr,1048910,233,110096.000,0.408894025,9.527231,0.040889402,9.527230780410e-05,0.095272308,2.945648
adaptive,2562321,706,110096.000,0.329653199,23.273516,0.032965320,2.327351584072e-04,0.232735158,7.195752
