architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,357308,76,110096.000,0.427029234,3.245422,0.042702923,3.245422177009e-05,0.032454222,1.000000
dmr,731110,160,110096.000,0.415041191,6.640659,0.041504119,6.640659061183e-05,0.066406591,2.046162
tmr,1057100,233,110096.000,0.412086713,9.601620,0.041208671,9.601620404011e-05,0.096016204,2.958512
adaptive,2616665,706,110096.000,0.336644779,23.767121,0.033664478,2.376712142131e-04,0.237671214,7.323276
