architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,356286,76,110096.000,0.425807812,3.236139,0.042580781,3.236139369278e-05,0.032361394,1.000000
dmr,726334,160,110096.000,0.412329921,6.597279,0.041232992,6.597278738555e-05,0.065972787,2.038626
tmr,1049798,233,110096.000,0.409240192,9.535296,0.040924019,9.535296468537e-05,0.095352965,2.946504
adaptive,2566037,706,110096.000,0.330131278,23.307268,0.033013128,2.330726820230e-04,0.233072682,7.202183
