architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,356900,76,110096.000,0.426541621,3.241716,0.042654162,3.241716320302e-05,0.032417163,1.000000
dmr,729284,160,110096.000,0.414004596,6.624074,0.041400460,6.624073535823e-05,0.066240735,2.043385
tmr,1054356,233,110096.000,0.411017026,9.576697,0.041101703,9.576696701061e-05,0.095766967,2.954206
adaptive,2604391,706,110096.000,0.335065678,23.655637,0.033506568,2.365563689871e-04,0.236556369,7.297257
