architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,356108,76,110096.000,0.425595079,3.234523,0.042559508,3.234522598460e-05,0.032345226,1.000000
dmr,725710,160,110096.000,0.411975685,6.591611,0.041197568,6.591610957710e-05,0.065916110,2.037893
tmr,1049084,233,110096.000,0.408961855,9.528811,0.040896185,9.528811219300e-05,0.095288112,2.945971
adaptive,2583497,706,110096.000,0.332377579,23.465857,0.033237758,2.346585707019e-04,0.234658571,7.254813
