architecture,total_toggles,tracked_bits,sim_time_ns,alpha,toggles_per_ns,norm_toggles_per_ns_per_bit,est_power_w,est_power_mw,relative_to_baseline
baseline,356432,76,110096.000,0.425982301,3.237465,0.042598230,3.237465484668e-05,0.032374655,1.000000
dmr,726852,160,110096.000,0.412623983,6.601984,0.041262398,6.601983723296e-05,0.066019837,2.039245
tmr,1050532,233,110096.000,0.409526325,9.541963,0.040952633,9.541963377416e-05,0.095419634,2.947356
adaptive,2569633,706,110096.000,0.330593918,23.339931,0.033059392,2.333993060602e-04,0.233399306,7.209322
